date,open,high,low,close,adj_close,volume
Oct 07 2022,3706.74,3706.74,3620.73,3639.66,3639.66,4449660000
Oct 06 2022,3771.97,3797.93,3739.22,3744.52,3744.52,4252100000
Oct 05 2022,3753.25,3806.91,3722.66,3783.28,3783.28,4293180000
Oct 04 2022,3726.46,3791.92,3726.46,3790.93,3790.93,5146580000
Oct 03 2022,3609.78,3698.35,3604.93,3678.43,3678.43,4806680000
Sep 30 2022,3633.48,3671.44,3584.13,3585.62,3585.62,5645360000
Sep 29 2022,3687.01,3687.01,3610.40,3640.47,3640.47,4681810000
Sep 28 2022,3651.94,3736.74,3640.61,3719.04,3719.04,4684850000
Sep 27 2022,3686.44,3717.53,3623.29,3647.29,3647.29,4577740000
Sep 26 2022,3682.72,3715.67,3644.76,3655.04,3655.04,4886140000
Sep 23 2022,3727.14,3727.14,3647.47,3693.23,3693.23,5144270000
Sep 22 2022,3782.36,3790.90,3749.45,3757.99,3757.99,4284600000
Sep 21 2022,3871.40,3907.07,3789.49,3789.93,3789.93,4078330000
Sep 20 2022,3875.23,3876.01,3827.54,3855.93,3855.93,4058050000
Sep 19 2022,3849.91,3900.45,3838.50,3899.89,3899.89,3766850000
Sep 16 2022,3880.95,3880.95,3837.08,3873.33,3873.33,7954650000
Sep 15 2022,3932.41,3959.14,3888.28,3901.35,3901.35,4441830000
Sep 14 2022,3940.73,3961.94,3912.18,3946.01,3946.01,4293240000
Sep 13 2022,4037.12,4037.12,3921.28,3932.69,3932.69,4224550000
Sep 12 2022,4083.67,4119.28,4083.67,4110.41,4110.41,3814200000
Sep 09 2022,4022.94,4076.81,4022.94,4067.36,4067.36,3901940000
Sep 08 2022,3959.94,4010.50,3944.81,4006.18,4006.18,3966850000
Sep 07 2022,3909.43,3987.89,3906.03,3979.87,3979.87,3890320000
Sep 06 2022,3930.89,3942.55,3886.75,3908.19,3908.19,4127340000
Sep 02 2022,3994.66,4018.43,3906.21,3924.26,3924.26,4134920000
Sep 01 2022,3936.73,3970.23,3903.65,3966.85,3966.85,3754570000
Aug 31 2022,4000.67,4015.37,3954.53,3955.00,3955.00,3797860000
Aug 30 2022,4041.25,4044.98,3965.21,3986.16,3986.16,3190580000
Aug 29 2022,4034.58,4062.99,4017.42,4030.61,4030.61,2963020000
Aug 26 2022,4198.74,4203.04,4057.66,4057.66,4057.66,3175260000
Aug 25 2022,4153.26,4200.54,4147.59,4199.12,4199.12,2976050000
Aug 24 2022,4126.55,4156.56,4119.97,4140.77,4140.77,3056910000
Aug 23 2022,4133.09,4159.77,4124.03,4128.73,4128.73,3117800000
Aug 22 2022,4195.08,4195.08,4129.86,4137.99,4137.99,3365220000
Aug 19 2022,4266.31,4266.31,4218.70,4228.48,4228.48,3210680000
Aug 18 2022,4273.13,4292.53,4261.98,4283.74,4283.74,2871990000
Aug 17 2022,4280.40,4302.18,4253.08,4274.04,4274.04,3293430000
Aug 16 2022,4290.46,4325.28,4277.77,4305.20,4305.20,3792010000
Aug 15 2022,4269.37,4301.79,4256.90,4297.14,4297.14,3087740000
Aug 12 2022,4225.02,4280.47,4219.78,4280.15,4280.15,3252290000
Aug 11 2022,4227.40,4257.91,4201.41,4207.27,4207.27,3925060000
Aug 10 2022,4181.02,4211.03,4177.26,4210.24,4210.24,3998590000
Aug 09 2022,4133.11,4137.30,4112.09,4122.47,4122.47,3337150000
Aug 08 2022,4155.93,4186.62,4128.97,4140.06,4140.06,3604650000
Aug 05 2022,4115.87,4151.58,4107.31,4145.19,4145.19,3540260000
Aug 04 2022,4154.85,4161.29,4135.42,4151.94,4151.94,3565810000
Aug 03 2022,4107.96,4167.66,4107.96,4155.17,4155.17,3544410000
Aug 02 2022,4104.21,4140.47,4079.81,4091.19,4091.19,3880790000
Aug 01 2022,4112.38,4144.95,4096.02,4118.63,4118.63,3540960000
Jul 29 2022,4087.33,4140.15,4079.22,4130.29,4130.29,3817740000
Jul 28 2022,4026.13,4078.95,3992.97,4072.43,4072.43,3882850000
Jul 27 2022,3951.43,4039.56,3951.43,4023.61,4023.61,3584170000
Jul 26 2022,3953.22,3953.22,3910.74,3921.05,3921.05,3083420000
Jul 25 2022,3965.72,3975.30,3943.46,3966.84,3966.84,2988650000
Jul 22 2022,3998.43,4012.44,3938.86,3961.63,3961.63,3246220000
Jul 21 2022,3955.47,3999.29,3927.64,3998.95,3998.95,3586030000
Jul 20 2022,3935.32,3974.13,3922.03,3959.90,3959.90,3452150000
Jul 19 2022,3860.73,3939.81,3860.73,3936.69,3936.69,3160350000
Jul 18 2022,3883.79,3902.44,3818.63,3830.85,3830.85,3414470000
Jul 15 2022,3818.00,3863.62,3817.18,3863.16,3863.16,3537130000
Jul 14 2022,3763.99,3796.41,3721.56,3790.38,3790.38,3447500000
Jul 13 2022,3779.67,3829.44,3759.07,3801.78,3801.78,3166580000
Jul 12 2022,3851.95,3873.41,3802.36,3818.80,3818.80,3138460000
Jul 11 2022,3880.94,3880.94,3847.22,3854.43,3854.43,3023830000
Jul 08 2022,3888.26,3918.50,3869.34,3899.38,3899.38,2844620000
Jul 07 2022,3858.85,3910.63,3858.85,3902.62,3902.62,3337710000
Jul 06 2022,3831.98,3870.91,3809.37,3845.08,3845.08,3613120000
Jul 05 2022,3792.61,3832.19,3742.06,3831.39,3831.39,4427900000
Jul 01 2022,3781.00,3829.82,3752.10,3825.33,3825.33,3268240000
Jun 30 2022,3785.99,3818.99,3738.67,3785.38,3785.38,4032260000
Jun 29 2022,3825.09,3836.50,3799.02,3818.83,3818.83,3458850000
Jun 28 2022,3913.00,3945.86,3820.14,3821.55,3821.55,3590980000
Jun 27 2022,3920.76,3927.72,3889.66,3900.11,3900.11,3385120000
Jun 24 2022,3821.75,3913.65,3821.75,3911.74,3911.74,6742870000
Jun 23 2022,3774.71,3802.58,3743.52,3795.73,3795.73,4078100000
Jun 22 2022,3733.89,3801.79,3717.69,3759.89,3759.89,4342270000
Jun 21 2022,3715.31,3779.65,3715.31,3764.79,3764.79,4124600000
Jun 17 2022,3665.90,3707.71,3636.87,3674.84,3674.84,6954110000
Jun 16 2022,3728.18,3728.18,3639.77,3666.77,3666.77,4511200000
Jun 15 2022,3764.05,3837.56,3722.30,3789.99,3789.99,4474610000
Jun 14 2022,3763.52,3778.18,3705.68,3735.48,3735.48,4126400000
Jun 13 2022,3838.15,3838.15,3734.30,3749.63,3749.63,4572820000
Jun 10 2022,3974.39,3974.39,3900.16,3900.86,3900.86,3936120000
Jun 09 2022,4101.65,4119.10,4017.17,4017.82,4017.82,3192330000
Jun 08 2022,4147.12,4160.14,4107.20,4115.77,4115.77,3090180000
Jun 07 2022,4096.47,4164.86,4080.19,4160.68,4160.68,3476470000
Jun 06 2022,4134.72,4168.78,4109.18,4121.43,4121.43,3852050000
Jun 03 2022,4137.57,4142.67,4098.67,4108.54,4108.54,3107080000
Jun 02 2022,4095.41,4177.51,4074.37,4176.82,4176.82,3604930000
Jun 01 2022,4149.78,4166.54,4073.85,4101.23,4101.23,4145710000
May 31 2022,4151.09,4168.34,4104.88,4132.15,4132.15,5192220000
May 27 2022,4077.43,4158.49,4077.43,4158.24,4158.24,3560560000
May 26 2022,3984.60,4075.14,3984.60,4057.84,4057.84,3961940000
May 25 2022,3929.59,3999.33,3925.03,3978.73,3978.73,4322190000
May 24 2022,3942.94,3955.68,3875.13,3941.48,3941.48,3901640000
May 23 2022,3919.42,3981.88,3909.04,3973.75,3973.75,3392770000
May 20 2022,3927.76,3943.42,3810.32,3901.36,3901.36,4278520000
May 19 2022,3899.00,3945.96,3876.58,3900.79,3900.79,4212140000
May 18 2022,4051.98,4051.98,3911.91,3923.68,3923.68,4428960000
May 17 2022,4052.00,4090.72,4033.93,4088.85,4088.85,3846580000
